Average of execTime,Column Labels,,,,,
Row Labels,timeseries_data,timeseries_data@primary,timeseries_data@timeseries_covering,timeseries_data@timeseries_timestamp_i1,(blank),Grand Total
0.5,119,727,5,195,,261.5
1,119,731,3,152,,251.25
2,224,719,5,252,,300
3,352,789,5,335,,370.25
4,619,1100,6,580,,576.25
5,596.5,856,7,685.5,,536.25
7,879,807,11,854,,637.75
8,914,898,12,966,,697.5
9,939,871,14,1300,,781
10,1000,744,15,1200,,739.75
12,1200,733,15,1300,,812
14,1500,793,19,1600,,978
16,1800,779,19,1900,,1124.5
18,2200,729,25,2000,,1238.5
20,2000,776,37,2400,,1303.25
30,3100,942,48,3300,,1847.5
40,4200,884,65,4400,,2387.25
90,820,849,147,8900,,2679
180,896,947,243,15000,,4271.5
270,821,930,404,20500,,5663.75
360,751,1000,570,26700,,7255.25
(blank),,,,,,
Grand Total,1165.727273,839.0909091,76.45454545,4327.5,,1602.193182